Niveau,Structure_hierarchique,Code,Titres_de_classes,Definitions_de_la_classe
4,Sous-classe (Domaine),RDF3030604,Soins infirmiers cliniques tertiaires (soins de réadaptation),Cette sous-classe comprend la recherche et le développement expérimental en soins infirmiers cliniques tertiaires (soins de réadaptation).
4,Sous-classe (Domaine),RDF3030605,Soins infirmiers en santé mentale,Cette sous-classe comprend la recherche et le développement expérimental en soins infirmiers en santé mentale.
4,Sous-classe (Domaine),RDF3030699,"Soins infirmiers, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en soins infirmiers, n.c.a."
3,Classe,RDF30399,Autres sciences de la santé,Cette classe comprend la recherche et le développement expérimental en autres sciences de la santé.
4,Sous-classe (Domaine),RDF3039999,"Autres sciences de la santé, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en autres sciences de la santé, n.c.a."
2,Groupe,RDF304,Biotechnologies médicales,Ce groupe comprend la recherche et le développement expérimental en biotechnologies médicales.
3,Classe,RDF30401,Biotechnologies médicales,Cette classe comprend la recherche et le développement expérimental en biotechnologies médicales.
4,Sous-classe (Domaine),RDF3040101,Thérapie génique et moléculaire,Cette sous-classe comprend la recherche et le développement expérimental en thérapie génique et moléculaire.
4,Sous-classe (Domaine),RDF3040102,Diagnostics faisant appel aux biotechnologies médicales (y compris les biocapteurs),Cette sous-classe comprend la recherche et le développement expérimental en diagnostics faisant appel aux biotechnologies médicales (y compris les biocapteurs).
4,Sous-classe (Domaine),RDF3040103,Génie moléculaire médical des acides nucléiques et des protéines,Cette sous-classe comprend la recherche et le développement expérimental en génie moléculaire médical des acides nucléiques et des protéines.
4,Sous-classe (Domaine),RDF3040104,Médecine régénérative (y compris les cellules souches et le génie tissulaire),Cette sous-classe comprend la recherche et le développement expérimental en médecine régénérative (y compris les cellules souches et le génie tissulaire).
4,Sous-classe (Domaine),RDF3040199,"Biotechnologies médicales, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en biotechnologies médicales, n.c.a."
2,Groupe,RDF305,Autres sciences médicales,Ce groupe comprend la recherche et le développement expérimental en autres sciences médicales.
3,Classe,RDF30599,Autres sciences médicales,Cette classe comprend la recherche et le développement expérimental en autres sciences médicales.
4,Sous-classe (Domaine),RDF3059999,Autres sciences médicales,Cette sous-classe comprend la recherche et le développement expérimental en autres sciences médicales.
1,Division,RDF40,Sciences agricoles et vétérinaires,"Cette division comprend la recherche et le développement expérimental en sciences agricoles et vétérinaires. Les sciences agricoles et vétérinaires réfèrent aux disciplines scientifiques relevant de la compréhension, de l'exploration ou de l'évolution du monde matériel, dans les domaines des sciences agricoles et vétérinaires, lesquels incluent l'agriculture, la sylviculture et les pêches; les sciences animales et du lait; la science vétérinaire; la biotechnologie de l'agriculture et des aliments; et les autres sciences agricoles. La recherche consiste en l'investigation systématique par l'expérimentation ou l'analyse, afin de réaliser un progrès scientifique ou technologique, comme l'acquisition de nouvelles connaissances sur les fondements des phénomènes et des faits observables. Le développement expérimental consiste à réaliser de nouveaux biens, services, systèmes, méthodes ou procédés, ou d'améliorer substantiellement les biens, services, systèmes, méthodes ou procédés existants."
2,Groupe,RDF401,"Agriculture, foresterie et pêches","Ce groupe comprend la recherche et le développement expérimental en agriculture, foresterie et pêches."
3,Classe,RDF40101,Gestion de l'exploitation agricole et des terres,Cette classe comprend la recherche et le développement expérimental en gestion de l'exploitation agricole et des terres.
4,Sous-classe (Domaine),RDF4010101,Gestion des terres agricoles,Cette sous-classe comprend la recherche et le développement expérimental en gestion des terres agricoles.
4,Sous-classe (Domaine),RDF4010102,Aménagement des terres agricoles,Cette sous-classe comprend la recherche et le développement expérimental en aménagement des terres agricoles.
4,Sous-classe (Domaine),RDF4010103,Écologie agricole,Cette sous-classe comprend la recherche et le développement expérimental en écologie agricole.
4,Sous-classe (Domaine),RDF4010104,Simulation de systèmes de production agricole,Cette sous-classe comprend la recherche et le développement expérimental en simulation de systèmes de production agricole.
4,Sous-classe (Domaine),RDF4010105,Analyse et modélisation spatiales des terres agricoles,Cette sous-classe comprend la recherche et le développement expérimental en analyse et modélisation spatiales des terres agricoles.
4,Sous-classe (Domaine),RDF4010106,Analyse et modélisation des systèmes de production agricole,Cette sous-classe comprend la recherche et le développement expérimental en analyse et modélisation des systèmes de production agricole.
4,Sous-classe (Domaine),RDF4010107,"Gestion de l'exploitation agricole, gestion rurale et agroentreprise","Cette sous-classe comprend la recherche et le développement expérimental en gestion de l'exploitation agricole, gestion rurale et agroentreprise."
4,Sous-classe (Domaine),RDF4010108,Recherche sur les systèmes de production agricole,Cette sous-classe comprend la recherche et le développement expérimental en recherche sur les systèmes de production agricole.
