Niveau,Code,Titres_de_classes,Nom_du_type_d_element_Francais,Description_d_element_Francais
2,RDF401,"Agriculture, foresterie et pêches",Exclusion(s),biotechnologies de l'agriculture  (Voir RDF40401 Biotechnologies de l'agriculture)
2,RDF401,"Agriculture, foresterie et pêches",Exclusion(s),économie agricole  (Voir RDF5020106 Économie agricole)
2,RDF401,"Agriculture, foresterie et pêches",Exclusion(s),gestion de l'eau en agriculture  (Voir RDF4059999 Autres sciences agricoles)
2,RDF401,"Agriculture, foresterie et pêches",Exclusion(s),sciences animales et sciences du lait  (Voir RDF402 Sciences animales et sciences du lait)
2,RDF401,"Agriculture, foresterie et pêches",Exclusion(s),"sciences alimentaires, y compris la transformation des aliments et l'emballage  (Voir RDF40402 Sciences de l'alimentation (y compris le génie de l'alimentation))"
2,RDF401,"Agriculture, foresterie et pêches",Exclusion(s),aménagement du territoire et planification écologique  (Voir RDF5070204 Aménagement du territoire et planification écologique)
2,RDF401,"Agriculture, foresterie et pêches",Exclusion(s),gestion de l'environnement en milieu naturel  (Voir RDF1051004 Gestion du milieu naturel (biophysique))
2,RDF401,"Agriculture, foresterie et pêches",Exclusion(s),"économie urbaine et régionale  (Voir RDF5020119 Économie urbaine, rurale et régionale)"
3,RDF40101,Gestion de l'exploitation agricole et des terres,Exclusion(s),gestion des déchets agricoles  (Voir RDF2080107 Gestion des déchets (y compris les déchets agricoles))
3,RDF40101,Gestion de l'exploitation agricole et des terres,Exclusion(s),gestion de l'eau en agriculture  (Voir RDF4059999 Autres sciences agricoles)
3,RDF40101,Gestion de l'exploitation agricole et des terres,Exclusion(s),sciences animales et sciences du lait  (Voir RDF402 Sciences animales et sciences du lait)
3,RDF40101,Gestion de l'exploitation agricole et des terres,Exclusion(s),gestion des animaux  (Voir RDF4020103 Gestion des animaux)
3,RDF40101,Gestion de l'exploitation agricole et des terres,Exclusion(s),gestion et l'aménagement des terres et des parcs en milieu bâti  (Voir RDF5070204 Aménagement du territoire et planification écologique)
3,RDF40101,Gestion de l'exploitation agricole et des terres,Exclusion(s),gestion des forêts pour la sylviculture  (Voir RDF40104 Sciences de la foresterie)
3,RDF40101,Gestion de l'exploitation agricole et des terres,Exclusion(s),gestion des parcs dans les milieux naturels  (Voir RDF10510 Sciences du milieu naturel)
3,RDF40101,Gestion de l'exploitation agricole et des terres,Exclusion(s),sciences du sol  (Voir RDF10511 Sciences des sols)
4,RDF4010106,Analyse et modélisation des systèmes de production agricole,Exclusion(s),analyse et modélisation spatiales des terres agricoles  (Voir RDF4010105 Analyse et modélisation spatiales des terres agricoles)
4,RDF4010107,"Gestion de l'exploitation agricole, gestion rurale et agroentreprise",Exclusion(s),gestion des déchets agricoles  (Voir RDF2080107 Gestion des déchets (y compris les déchets agricoles))
4,RDF4010107,"Gestion de l'exploitation agricole, gestion rurale et agroentreprise",Exclusion(s),gestion des entreprises non rurales  (Voir RDF50205 Gestion et commerce)
3,RDF40102,Production culturale et production des pâturages,Exclusion(s),"lutte biologique contre les organismes nuisibles, les maladies et les espèces exotiques  (Voir RDF2090102 Lutte biologique)"
3,RDF40102,Production culturale et production des pâturages,Exclusion(s),génie génétique des cultures et pâturages  (Voir RDF4040103 Plantes de grandes cultures et pâturages génétiquement modifiés)
4,RDF4010202,Agronomie,Exclusion(s),sciences animales et sciences du lait  (Voir RDF402 Sciences animales et sciences du lait)
4,RDF4010205,Amélioration des cultures et des pâturages (sélection et amélioration génétique),Exclusion(s),amélioration des cultures horticoles au moyen de la reproduction sélective  (Voir RDF4010302 Amélioration des cultures horticoles (sélection et amélioration génétique))
3,RDF40103,Production horticole,Exclusion(s),"lutte biologique contre les organismes nuisibles, les maladies et les espèces exotiques  (Voir RDF2090102 Lutte biologique)"
3,RDF40103,Production horticole,Exclusion(s),"sciences alimentaires, y compris la transformation et l'emballage  (Voir RDF40402 Sciences de l'alimentation (y compris le génie de l'alimentation))"
3,RDF40103,Production horticole,Exclusion(s),génie génétique des cultures horticoles  (Voir RDF4040104 Plantes horticoles génétiquement modifiées)
3,RDF40104,Sciences de la foresterie,Exclusion(s),"lutte biologique contre les organismes nuisibles, les maladies et les espèces exotiques  (Voir RDF2090102 Lutte biologique)"
3,RDF40104,Sciences de la foresterie,Exclusion(s),génie génétique des arbres aux fins de production agricole  (Voir RDF4040105 Arbres génétiquement modifiés)
3,RDF40104,Sciences de la foresterie,Exclusion(s),"gestion des en milieu naturel, autre que la sylviculture  (Voir RDF10510 Sciences du milieu naturel)"
3,RDF40104,Sciences de la foresterie,Exclusion(s),gestion des terres pour la production agricole  (Voir RDF40101 Gestion de l'exploitation agricole et des terres)
4,RDF4010404,Gestion des forêts et environnement forestier,Exclusion(s),opérations forestières  (Voir RDF4010412 Opérations forestières)
4,RDF4010404,Gestion des forêts et environnement forestier,Exclusion(s),gestion des feux de forêt  (Voir RDF4010403 Gestion des feux de forêt)
4,RDF4010404,Gestion des forêts et environnement forestier,Exclusion(s),évaluation de la qualité des produits forestiers  (Voir RDF4010407 Évaluation de la qualité des produits forestiers)
4,RDF4010404,Gestion des forêts et environnement forestier,Exclusion(s),amélioration des arbres  (Voir RDF4010408 Amélioration des arbres (sélection et amélioration génétique))
3,RDF40105,Sciences de la pêche,Exclusion(s),"lutte biologique contre les organismes nuisibles, les maladies et les espèces exotiques  (Voir RDF2090102 Lutte biologique)"
3,RDF40105,Sciences de la pêche,Exclusion(s),"sciences alimentaires, y compris la transformation et l'emballage  (Voir RDF40402 Sciences de l'alimentation (y compris le génie de l'alimentation))"
2,RDF402,Sciences animales et sciences du lait,Exclusion(s),biotechnologie agricole et sciences alimentaires  (Voir RDF404 Biotechnologies de l'agriculture et sciences de l'alimentation)
3,RDF40201,Productions animales,Exclusion(s),"lutte biologique contre les organismes nuisibles, les maladies et les espèces exotiques  (Voir RDF2090102 Lutte biologique)"
3,RDF40201,Productions animales,Exclusion(s),"culture et production d'animaux marins et dulcicoles, y compris les poissons, les crustacés et les mollusques  (Voir RDF40105 Sciences de la pêche)"
3,RDF40201,Productions animales,Exclusion(s),"sciences alimentaires, y compris la transformation et l'emballage  (Voir RDF40402 Sciences de l'alimentation (y compris le génie de l'alimentation))"
3,RDF40201,Productions animales,Exclusion(s),clonage des animaux d'élevage  (Voir RDF4040107 Clonage des animaux d'élevage)
3,RDF40201,Productions animales,Exclusion(s),sciences vétérinaires  (Voir RDF40301 Sciences vétérinaires)
4,RDF4020101,Amélioration génétique des animaux,Exclusion(s),animaux génétiquement modifiés  (Voir RDF4040106 Animaux génétiquement modifiés)
4,RDF4020106,Reproduction animale,Exclusion(s),amélioration génétique des animaux  (Voir RDF4020101 Amélioration génétique des animaux)
